Country,Cases,Deaths,Recoveries,Death Rate,Recovery Rate
Trinidad and Tobago,5980,111,5343,0.018561872909698997,0.8934782608695652
Malawi,5962,185,5372,0.031029855753102985,0.901039919490104
Guam,5924,93,3942,0.015698852126941255,0.6654287643484132
Andorra,5725,75,4675,0.013100436681222707,0.8165938864628821
Nicaragua,5661,158,4225,0.02791026320438085,0.7463345698639816
Djibouti,5641,61,5509,0.01081368551675235,0.9765998936358802
Congo,5515,92,3887,0.01668177697189483,0.7048050770625567
Hong Kong,5437,108,5177,0.019863895530623506,0.95217951075961
Rwanda,5362,42,4993,0.007832898172323759,0.9311823946288699
Suriname,5268,114,5131,0.02164009111617312,0.9739939255884587
Iceland,5170,25,4698,0.004835589941972921,0.9087040618955513
Equatorial Guinea,5104,85,4973,0.01665360501567398,0.974333855799373
Central African Republic,4866,62,1924,0.012741471434443074,0.395396629675298
Guyana,4724,138,3688,0.029212531752751906,0.7806943268416596
Aruba,4658,44,4521,0.009446114212108201,0.9705882352941176
Belize,4596,75,2513,0.016318537859007835,0.5467798085291558
Somalia,4301,107,3330,0.02487793536386887,0.7742385491746105
Uruguay,3883,64,3135,0.016482101467937164,0.8073654390934845
Thailand,3866,60,3707,0.015519917227108122,0.9588722193481635
Mali,3806,139,2926,0.03652128218602207,0.7687861271676301
The Gambia,3698,122,3557,0.03299080584099513,0.9618712817739319
South Sudan,2980,59,1290,0.019798657718120807,0.43288590604026844
Benin,2844,43,2515,0.015119549929676512,0.8843178621659634
Togo,2627,60,1856,0.022839741149600305,0.7065093262276361
Burkina Faso,2609,68,2413,0.026063625910310462,0.9248754311996934
Abkhazia,2579,27,1167,0.010469174098487785,0.4525009693679721
Guinea-Bissau,2419,43,2255,0.017775940471269118,0.9322033898305084
Sierra Leone,2391,74,1816,0.03094939355918026,0.7595148473442075
Yemen,2071,605,1394,0.2921294060840174,0.6731047802993723
Lesotho,2041,44,1056,0.021558059774620286,0.5173934345908868
Luhansk PR,1669,121,1391,0.07249850209706411,0.8334331935290593
New Zealand,1642,25,1562,0.015225334957369063,0.951278928136419
Chad,1551,99,1394,0.06382978723404255,0.8987749838813669
Liberia,1452,82,1311,0.05647382920110193,0.9028925619834711
U.S. Virgin Islands,1405,23,1345,0.016370106761565837,0.9572953736654805
Curaçao,1261,2,913,0.0015860428231562252,0.7240285487708168
Niger,1246,69,1144,0.05537720706260032,0.9181380417335474
Vietnam,1226,35,1087,0.028548123980424143,0.8866231647634584
Somaliland,1188,37,972,0.031144781144781145,0.8181818181818182
San Marino,1114,42,789,0.03770197486535009,0.7082585278276481
USS Theodore Roosevelt,1102,1,751,0.0009074410163339383,0.6814882032667876
Charles de Gaulle,1081,0,0,0.0,0.0
Northern Cyprus,976,5,916,0.005122950819672131,0.9385245901639344
São Tomé and Príncipe,962,16,912,0.016632016632016633,0.9480249480249481
Sint Maarten,923,24,835,0.02600216684723727,0.90465872156013
Gibraltar,887,1,742,0.0011273957158962795,0.8365276211950394
Liechtenstein,801,4,565,0.004993757802746567,0.7053682896379525
Turks and Caicos Islands,716,6,695,0.008379888268156424,0.9706703910614525
Diamond Princess,712,14,653,0.019662921348314606,0.9171348314606742
Jersey,672,32,534,0.047619047619047616,0.7946428571428571
Taiwan,600,7,535,0.011666666666666667,0.8916666666666667
Papua New Guinea,599,7,585,0.011686143572621035,0.9766277128547579
Burundi,589,1,511,0.001697792869269949,0.8675721561969439
Comoros,563,7,532,0.012433392539964476,0.9449378330373002
Faroe Islands,497,0,494,0.0,0.993963782696177
Eritrea,491,0,438,0.0,0.8920570264765784
Monaco,490,2,369,0.004081632653061225,0.753061224489796
Mauritius,453,10,416,0.02207505518763797,0.9183222958057395
Artsakh,404,2,337,0.0049504950495049506,0.8341584158415841
Bhutan,369,0,345,0.0,0.9349593495934959
Mongolia,368,0,31,0.0,0.08423913043478261
Isle of Man,359,25,324,0.06963788300835655,0.9025069637883009
Cambodia,301,0,288,0.0,0.9568106312292359
Guernsey,282,13,253,0.04609929078014184,0.8971631205673759
Cayman Islands,250,1,236,0.004,0.944
Barbados,249,7,234,0.028112449799196786,0.9397590361445783
Bermuda,214,9,182,0.04205607476635514,0.8504672897196262
Saint Lucia,160,2,46,0.0125,0.2875
